months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,capital_gains,capital_loss,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,policy_age_at_incident_days,car_age,is_weekend,claim_to_premium_ratio,vehicle_claim_pct,injury_claim_pct,is_new_customer,is_major_damage,is_highrisk_hobby,is_no_witness,is_exec_occupation,csl_per_person,csl_total,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_hobbies_basketball,insured_hobbies_board-games,insured_hobbies_bungie-jumping,insured_hobbies_camping,insured_hobbies_chess,insured_hobbies_cross-fit,insured_hobbies_dancing,insured_hobbies_exercise,insured_hobbies_golf,insured_hobbies_hiking,insured_hobbies_kayaking,insured_hobbies_movies,insured_hobbies_paintball,insured_hobbies_polo,insured_hobbies_reading,insured_hobbies_skydiving,insured_hobbies_sleeping,insured_hobbies_video-games,insured_hobbies_yachting,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Not Applicable,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_Other,authorities_contacted_Police,policy_state_IN,policy_state_OH,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,auto_region_European,auto_region_Japanese,auto_region_Other,hour_bucket_Night,hour_bucket_Rush_Hour,zip3_risk_tier_elevated,zip3_risk_tier_high_risk,zip3_risk_tier_low_risk
441,55,500,1270.29,4000000,1,3.0,24000,-50500,1.0,4,1,0,0,0,0,640,640,5120,2031,13,0,5.038219619142086,0.7998750195281987,0.09998437744102484,0,0,0,1,0,250000,500000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
275,45,2000,1447.77,0,0,2.0,39400,-63900,3.0,8,3,1,1,1,0,5360,10720,48240,8444,17,1,44.426946269089704,0.7499883397335241,0.08333203774816934,0,0,0,0,0,500000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
421,56,500,1935.85,4000000,1,4.0,49500,-81100,2.0,7,1,0,2,3,0,16860,8430,67440,9097,11,0,47.90143864452308,0.727264884450723,0.18181622111268075,0,1,0,0,0,100000,300000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
4,34,500,1282.93,0,0,3.0,0,0,2.0,0,4,0,0,0,0,6080,12160,48640,4282,19,0,52.130669639029406,0.727261853142148,0.0909077316427685,0,1,0,1,1,500000,1000000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
257,44,1000,1280.88,0,1,6.0,59400,-32200,3.0,21,1,0,0,1,0,0,5220,41760,3131,13,0,36.677908937605395,0.8888699687107554,0.0,0,0,0,0,0,100000,300000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
135,30,2000,1341.24,0,0,6.0,37100,-46500,1.0,18,3,0,0,1,0,5940,2970,23760,2189,12,0,24.35805672362888,0.7272504667748156,0.1818126166937039,0,0,0,0,0,500000,1000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
105,28,500,1082.36,0,0,2.0,0,0,2.0,12,3,0,2,2,0,12100,6050,42350,6982,20,1,55.896374588861384,0.6999884299433067,0.19999669426951622,0,1,0,0,0,250000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
291,46,1000,994.74,0,0,1.0,0,-55300,1.0,8,1,0,2,2,1,620,620,4340,3209,10,1,5.609506001568249,0.7776384160544705,0.11109120229349578,0,0,0,0,0,500000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
238,43,1000,1524.45,4000000,1,1.0,0,-44800,3.0,21,4,0,0,0,0,4270,4270,34160,6855,20,0,28.010102004001443,0.7999812650757594,0.09999765813446992,0,0,1,1,0,250000,500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
190,40,2000,965.21,0,0,0.0,36900,-53700,0.0,10,1,0,2,1,1,630,630,5040,2928,14,0,6.527077009148268,0.7998730360260277,0.09998412950325346,0,0,0,0,1,500000,1000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
