feature,mean_abs_shap
incident_severity,0.1707091005256935
zip3_risk_tier_low_risk,0.048505421045455986
is_major_damage,0.04520592569337593
is_highrisk_hobby,0.029232924109139184
authorities_contacted_Police,0.02291554828220178
incident_state_WV,0.017058002445936388
incident_state_NY,0.016758018858954345
number_of_vehicles_involved,0.011869954219777261
collision_type_Not Applicable,0.010725269443407346
hour_bucket_Night,0.0103103235898957
insured_hobbies_chess,0.008993305385045705
authorities_contacted_Fire,0.00690941152583145
vehicle_claim_pct,0.005696132526515769
claim_to_premium_ratio,0.005400798917109485
collision_type_Side Collision,0.005290976597804683
incident_type_Single Vehicle Collision,0.0051454684877493394
is_no_witness,0.0044846488829558264
insured_hobbies_cross-fit,0.004277310192576883
auto_region_Other,0.003981478723007427
injury_claim_pct,0.0035482966675402018
incident_hour_of_the_day,0.0031968024849526305
policy_age_at_incident_days,0.0029872301748322715
insured_relationship_own-child,0.002878027573606879
insured_occupation_handlers-cleaners,0.002638644703403982
hour_bucket_Rush_Hour,0.002596446486536567
umbrella_limit,0.0024722787460548096
insured_hobbies_sleeping,0.0022501015344966284
police_report_available,0.0021790937795349613
vehicle_claim,0.002178598520626558
insured_education_level,0.002164802763360418
property_claim,0.0019173285151459951
insured_hobbies_exercise,0.001779865873051614
insured_sex,0.001723557039697409
months_as_customer,0.001614839229483017
bodily_injuries,0.0015721973322593045
auto_region_Japanese,0.0014283063545848984
policy_deductable,0.0014239832833251268
policy_annual_premium,0.0014086884109076397
policy_state_IN,0.0013237000870237536
capital_loss,0.0012418285039008136
capital_gains,0.0012282697267580682
witnesses,0.001092639006613722
csl_per_person,0.0010569995965209642
injury_claim,0.0010032864675325764
age,0.0009977274146568808
insured_hobbies_golf,0.0009231734797323901
car_age,0.0008973805360574906
insured_hobbies_camping,0.0008396887022408496
zip3_risk_tier_high_risk,0.0007958802912226746
insured_occupation_priv-house-serv,0.0007927040262434668
csl_total,0.000706961033625371
authorities_contacted_Other,0.0006425534103172312
insured_hobbies_bungie-jumping,0.0004491361310335645
insured_relationship_not-in-family,0.0004245151192678906
incident_state_VA,0.00038080116724686935
incident_type_Parked Car,0.0003748583639124423
insured_hobbies_kayaking,0.000330944173585177
insured_occupation_armed-forces,0.0003306283158776709
insured_relationship_wife,0.00029413791518680625
auto_region_European,0.00028782933289853233
is_exec_occupation,0.00027994196794123473
insured_hobbies_polo,0.00023191208084312259
policy_state_OH,0.0002240009275780902
property_damage,0.00021444556823797402
insured_occupation_tech-support,0.00021211229728285402
insured_hobbies_hiking,0.00021005759062654467
insured_hobbies_paintball,0.00020296215357590975
insured_relationship_unmarried,0.00019693303097344944
insured_hobbies_yachting,0.00018795613525556822
is_weekend,0.00015821955017177622
incident_state_SC,0.00014619258288029062
insured_occupation_machine-op-inspct,0.00014557128949695624
insured_occupation_exec-managerial,0.0001352482295040366
insured_hobbies_board-games,0.0001254775760054865
insured_hobbies_movies,0.00012521649434866117
insured_hobbies_video-games,0.00012047839090416867
incident_state_PA,0.00011879012469539178
insured_occupation_sales,0.00010718207209858659
collision_type_Rear Collision,0.00010098738410242305
insured_occupation_transport-moving,9.944012639220478e-05
insured_occupation_protective-serv,9.555354674818977e-05
insured_occupation_craft-repair,9.119178793946108e-05
insured_relationship_other-relative,8.918780279688223e-05
insured_occupation_prof-specialty,8.770232776415963e-05
insured_occupation_farming-fishing,8.551144333985506e-05
insured_hobbies_reading,8.00170294431623e-05
insured_hobbies_skydiving,7.57077765371782e-05
zip3_risk_tier_elevated,7.564574633248966e-05
insured_occupation_other-service,5.708629664398418e-05
incident_type_Vehicle Theft,5.468891811042768e-05
incident_state_OH,2.3999420171893184e-05
insured_hobbies_basketball,0.0
insured_hobbies_dancing,0.0
is_new_customer,0.0
